ID,Non-C4,C4,C1,C2,C3,PREDICTION
0,0.97259545,0.027404524,0.45665148,0.2669955,0.27635303,1
1,0.96035725,0.039642777,0.46904573,0.2609051,0.27004918,1
2,0.9405304,0.059469577,0.38817546,0.29308847,0.31873608,1
3,0.97259545,0.027404524,0.46904573,0.2609051,0.27004918,1
4,0.97259545,0.027404524,0.44054493,0.2749101,0.28454503,1
5,0.97259545,0.027404524,0.3157795,0.24691434,0.43730617,3
6,0.96035725,0.039642777,0.26583484,0.4846689,0.2494962,2
7,0.96035725,0.039642777,0.2677871,0.48338014,0.24883278,2
8,0.97259545,0.027404524,0.29052836,0.28591448,0.4235572,3
9,0.96035725,0.039642777,0.24673116,0.4882173,0.26505157,2
10,0.97259545,0.027404524,0.23759693,0.470143,0.29226005,2
11,0.97259545,0.027404524,0.23759693,0.470143,0.29226005,2
12,0.9405304,0.059469577,0.2578046,0.43493912,0.30725625,2
13,0.97259545,0.027404524,0.25490668,0.25085855,0.49423483,3
14,0.9405304,0.059469577,0.37288064,0.29156286,0.3355565,1
15,0.97259545,0.027404524,0.25490668,0.25085855,0.49423483,3
16,0.97259545,0.027404524,0.25490668,0.25085855,0.49423483,3
17,0.97259545,0.027404524,0.44751778,0.26414487,0.28833738,1
18,0.9405304,0.059469577,0.45665148,0.2669955,0.27635303,1
19,0.97259545,0.027404524,0.25490668,0.25085855,0.49423483,3
20,0.9405304,0.059469577,0.26648438,0.24696055,0.4865551,3
21,0.3861556053161621,0.6138443946838379,nan,nan,nan,4
22,0.97259545,0.027404524,0.2787886,0.2825555,0.43865594,3
23,0.97259545,0.027404524,0.27842826,0.24293928,0.4786325,3
24,0.97259545,0.027404524,0.25490668,0.25085855,0.49423483,3
25,0.97259545,0.027404524,0.25490668,0.25085855,0.49423483,3
26,0.97259545,0.027404524,0.2501656,0.49501318,0.25482118,2
27,0.97259545,0.027404524,0.26163897,0.4874389,0.25092214,2
28,0.97259545,0.027404524,0.28784305,0.2397695,0.4723875,3
29,0.97259545,0.027404524,0.24859607,0.4677849,0.28361902,2
30,0.9405304,0.059469577,0.26583484,0.4846689,0.2494962,2
31,0.97259545,0.027404524,0.2469853,0.48872018,0.2642946,2
32,0.97259545,0.027404524,0.39045164,0.25509572,0.3544526,1
33,0.97259545,0.027404524,0.43917614,0.27558267,0.2852412,1
34,0.97259545,0.027404524,0.23759693,0.470143,0.29226005,2
35,0.97259545,0.027404524,0.45665148,0.2669955,0.27635303,1
36,0.97259545,0.027404524,0.30286765,0.23471099,0.46242133,3
37,0.97259545,0.027404524,0.41101897,0.25648522,0.33249578,1
38,0.9405304,0.059469577,0.44150996,0.27443585,0.28405416,1
39,0.97259545,0.027404524,0.23742038,0.46979365,0.292786,2
40,0.97259545,0.027404524,0.27732426,0.27292007,0.4497556,3
41,0.97259545,0.027404524,0.249356,0.46921486,0.2814292,2
42,0.266720175743103,0.733279824256897,nan,nan,nan,4
43,0.97259545,0.027404524,0.46222708,0.25711223,0.28066066,1
44,0.266720175743103,0.733279824256897,nan,nan,nan,4
45,0.97259545,0.027404524,0.24829228,0.43776888,0.31393877,2
46,0.96035725,0.039642777,0.29298294,0.44812247,0.2588946,2
47,0.266720175743103,0.733279824256897,nan,nan,nan,4
48,0.97259545,0.027404524,0.38465288,0.2964159,0.31893122,1
49,0.96035725,0.039642777,0.27927586,0.4599319,0.2607922,2
50,0.97259545,0.027404524,0.35200295,0.2829205,0.36507654,3
51,0.97259545,0.027404524,0.30098376,0.23534526,0.46367097,3
52,0.97259545,0.027404524,0.37729052,0.26060364,0.3621058,1
53,0.97259545,0.027404524,0.25490668,0.25085855,0.49423483,3
54,0.9405304,0.059469577,0.27564958,0.24387479,0.4804756,3
55,0.97259545,0.027404524,0.30098376,0.23534526,0.46367097,3
56,0.9405304,0.059469577,0.46904573,0.2609051,0.27004918,1
57,0.97259545,0.027404524,0.32598463,0.27279606,0.40121934,3
58,0.97259545,0.027404524,0.26381692,0.24785861,0.48832443,3
59,0.97259545,0.027404524,0.25490668,0.25085855,0.49423483,3
60,0.9405304,0.059469577,0.24348931,0.48180246,0.27470824,2
61,0.97259545,0.027404524,0.30098376,0.23534526,0.46367097,3
62,0.8815533,0.11844668,0.31892237,0.39926162,0.281816,2
63,0.97259545,0.027404524,0.2469853,0.48872018,0.2642946,2
64,0.97259545,0.027404524,0.28065756,0.45593458,0.2634079,2
65,0.266720175743103,0.733279824256897,nan,nan,nan,4
66,0.2294662594795227,0.7705337405204773,nan,nan,nan,4
67,0.266720175743103,0.733279824256897,nan,nan,nan,4
68,0.44941216707229614,0.5505878329277039,nan,nan,nan,4
69,0.44941216707229614,0.5505878329277039,nan,nan,nan,4
70,0.6572618,0.3427382,0.29298294,0.44812247,0.2588946,2
71,0.266720175743103,0.733279824256897,nan,nan,nan,4
72,0.4005807042121887,0.5994192957878113,nan,nan,nan,4
73,0.266720175743103,0.733279824256897,nan,nan,nan,4
74,0.9405304,0.059469577,0.3305084,0.42433804,0.24515358,2
75,0.8212668,0.1787332,0.28648266,0.4522425,0.26127487,2
76,0.266720175743103,0.733279824256897,nan,nan,nan,4
77,0.266720175743103,0.733279824256897,nan,nan,nan,4
78,0.266720175743103,0.733279824256897,nan,nan,nan,4
79,0.7683365,0.23166354,0.27300993,0.4799322,0.24705786,2
